calendar,Awning 1,Awning 2,Awning 3 ,Awning 4,Awning 5,Awning 6,Awning 7,Awning 8,Awning 9,Awning 10,Awning 11,Awning 12,Awning 13,Awning 14,Awning 15,Awning 16,application,units 
2016-06-21,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,hand,gal
2016-06-23,12,12,12,12,6,6,6,6,6,6,6,6,12,12,12,12,hand,gal
2016-06-24,16,16,16,8,8,8,8,8,8,8,8,8,14,14,14,14,hand,gal
2016-06-27,10,10,10,10,0,0,0,0,0,0,0,0,10,10,10,10,hand,gal
2016-06-29,10,10,10,10,0,0,0,0,0,0,0,0,10,10,10,10,hand,gal
2016-07-02,10,10,10,10,0,0,0,0,0,0,0,0,10,10,10,10,hand,gal
2016-07-10,130,130,130,130,0,0,0,0,0,0,0,0,130,130,130,130,drip,gal
2016-07-15,32,35,36,30,0,0,0,0,0,0,0,0,40,35,36,35,drip,gal
2016-07-19,34,32,30,40,0,0,0,0,0,0,0,0,30,34,34,35,drip,gal
2016-07-21,44,43,44,40,0,0,0,0,0,0,0,0,40,41,40,40,drip,gal
2016-07-29,30,29,30,31,0,0,0,0,0,0,0,0,32,32,33,30,drip,gal
2016-08-03,30,32,33,30,0,0,0,0,0,0,0,0,28,28,27,30,drip,gal
2016-08-08,35,34,34,34,0,0,0,0,0,0,0,0,35,35,35,35,drip,gal
2016-08-11,35,35,33,35,0,0,0,0,0,0,0,0,35,35,35,35,drip,gal
2016-08-24,30,30,30,30,0,0,0,0,0,0,0,0,30,30,30,30,drip,gal
2016-09-02,30,30,30,30,0,0,0,0,0,0,0,0,30,30,30,30,drip,gal
2016-09-07,40,40,40,40,0,0,0,0,0,0,0,0,40,40,40,40,drip,gal
